source,type_of_source,competent_body,normative_status,regulatory_stage,indicated_competence,requirement_defined,gap_identified,evidence
"RDC 839/2023","Official document","ANVISA","In force","Safety assessment","ANVISA","Yes","No cultivated-meat-specific gap identified in the current mapping; application is through the novel-food framework","Arts. 5-9 of RDC 839/2023"
"RDC 839/2023","Official document","ANVISA","In force","Use authorization","ANVISA","Yes","No cultivated-meat-specific procedure identified beyond the novel-food framework","Arts. 5-9 of RDC 839/2023"
"Decree 9.013/2017 (RIISPOA)","Official document","MAPA","General rule in force; no specific adaptation","Product registration","MAPA; general competence","Partial","No clear instruction defining whether and how cultivated meat fits the animal-origin product category for registration","RIISPOA; official MAPA registration/labelling page"
"Decree 9.013/2017 (RIISPOA)","Official document","MAPA/SIF/DIPOA","General rule in force; no specific adaptation","Inspection","MAPA/SIF/DIPOA; general competence","Partial","The rule governs inspection of animal-origin products but does not resolve classification of cell-cultured products for inspection","Art. 11 of Decree 9.013/2017"
"IN MAPA 22/2005; RDC 727/2022; RDC 429/2020; IN 75/2020","Multiple official documents","ANVISA + MAPA","In force and historical, as applicable","Labelling","Shared/overlapping according to product category","Partial","General labelling rules exist, but no rule in the mapping addresses the specific characteristics or nomenclature of cultivated meat","Relevant provisions of the listed instruments"
"No specific rule located","Documentary absence","Not identified","No specific rule located","Commercialization","Not defined","No","No specific ANVISA or MAPA rule governing commercialization of cultivated meat was located in the searched portals","Search of ANVISA, MAPA and DOU portals"
